Id	CommandLine
--	-----------
1	cd \
2	cd .\Users\Usuario\PycharmProjects\k8schallenge\
3	minikube status
4	minikube start
5	minikube start --driver=virtualbox
6	minikube start --driver=hyperv
7	minikube delete
8	minikube start --driver=hyperv
9	minikube status
10	minikube dashboard
11	Invoke-WebRequest https://github.com/digitalocean/doctl/releases/download/v1.92.0/doctl-1.92.0-windows-amd64.zip -OutFile ~\doctl-1....
12	Expand-Archive -Path ~\doctl-1.92.0-windows-amd64.zip
13	New-Item -ItemType Directory $env:ProgramFiles\doctl\...
14	ls
15	New-Item -ItemType Directory $env:ProgramFiles\doctl\...
16	Invoke-WebRequest https://github.com/digitalocean/doctl/releases/download/v1.92.0/doctl-1.92.0-windows-amd64.zip -OutFile ~\doctl-1....
17	ls
18	Expand-Archive -Path ~\doctl-1.92.0-windows-amd64.zip
19	New-Item -ItemType Directory $env:ProgramFiles\doctl\...
20	kubectl --kubeconfig=~/.kube/do-nyc1-k8s-1-25-4-do-0-nyc1-1674084563511-kubeconfig.yaml get nodes
21	ls
22	kubectl --kubeconfig=~/.kube/do-nyc1-k8s-1-25-4-do-0-nyc1-1674084563511-kubeconfig.yaml get nodes
23	cd ~
24	cd .\.kube\
25	ls
26	kubectl --kubeconfig=~/.kube/k8s-1-25-4-do-0-nyc1-1674084563511-kubeconfig get nodes
27	kubectl --kubeconfig=~/.kube/k8s-1-25-4-do-0-nyc1-1674084563511-kubeconfig.yaml get nodes
28	kubectl --kubeconfig=k8s-1-25-4-do-0-nyc1-1674084563511-kubeconfig.yaml get nodes
29	kubectl get nodes
30	kubectl config current-context
31	kubectl --kubeconfig=get-context
32	kubectl config get-contexts
33	ls
34	cat .\config
35	kubectl config get-contexts
36	kubectl config use-context do-sfo2-example-cluster-01
37	kubectl config use-context do-nyc1-k8s-1-25-4-do-0-nyc1-1674084563511
38	kubectl get nodes
39	cd \
40	cd '.\Users\Usuario\Downloads\Deriv K8s Challenge\'
41	ls
42	cd \
43	cd .\Users\Usuario\PycharmProjects\k8schallenge\
44	ls
45	ls
46	kubectl get nodes
47	kubectl get svc
48	kubectl get pods
49	docker images
50	kubectl get svc
51	kubectl get pods
52	kubectl get pods --show-labels
53	kubectl delete pod -l app=app
54	kubectl get pods --show-labels
55	kubectl delete pod -l app=app2
56	kubectl get pods
57	kubectl get svc
58	kubectl describe svc nginx
59	-...
60	choco install kubernetes-helm
61	helm
62	Set-ExecutionPolicy Bypass -Scope Process -Force; [System.Net.ServicePointManager]::SecurityProtocol = [System.Net.ServicePointManag...
63	choco install kubernetes-helm
64	helm
65	helm repo add ingress-nginx https://kubernetes.github.io/ingress-nginx
66	helm repo update
67	helm install nginx-ingress ingress-nginx/ingress-nginx --set controller.publishService.enabled=true
68	kubectl get svc
69	kubectl get svc
70	kubectl delete svc nginx
71	kubectl get svc
72	kubectl get svc
73	kubectl describe svc nginx-ingress-ingress-nginx-controller
74	kubectl get svc
75	kubectl get svc
76	cd .\Resources\
77	ls
78	kubectl delete -f .\nginx.yaml
79	kubectl delete -f .\nginx2.yaml
